0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ACTR1A.10121,1_AGAP4.119016,1_AIFM3.150209,1_AP1AR.55435,1_ARHGAP42.143872,1_AURKB.9212,1_C15orf42.90381,1_C16orf48.84080,1_C18orf20.221241,1_C1orf92.149499,1_C4orf45.152940,1_CARD16.114769,1_CBX4.8535,1_CBX7.23492,1_CCDC121.79635,1_CCDC88B.283234,1_CCIN.881,1_CCNG1.900,1_CDC37.11140,1_CDH22.64405,1_CDKL2.8999,1_CHM.1121,1_CKAP4.10970,1_COL5A1.1289,1_COL9A2.1298,1_CPXM2.119587,1_CTNND1.1500,1_CYP7B1.9420,1_DBI.1622,1_DNAJC3.5611,1_EME1.146956,1_FAM131A.131408,1_FAM160A1.729830,1_FAM179B.23116,1_FAM47E.100129583,1_FGF3.2248,1_FLJ35390.255031,1_FLJ45340.402483,1_FOXA2.3170,1_FUT3.2525,1_FXR2.9513,1_GAS2.2620,1_GATM.2628,1_GIPC2.54810,1_GMCL1L.64396,1_GNRH1.2796,1_GPRC5D.55507,1_GSTM3.2947,1_GZF1.64412,1_HHLA2.11148,1_HSD17B1.3292,1_IL20RA.53832,1_IPP.3652,1_JUNB.3726,1_KLF11.8462,1_KLF4.9314,1_KREMEN2.79412,1_LGALS1.3956,1_LIMA1.51474,1_LIN7A.8825,1_LOC100134713.100134713,1_LOC349114.349114,1_LRFN1.57622,1_MAGIX.79917,1_MARVELD3.91862,1_MCCC2.64087,1_MEMO1.51072,1_METRNL.284207,1_METTL7A.25840,1_MFAP2.4237,1_MIPEP.4285,1_MMP24.10893,1_MRPL9.65005,1_NCRNA00028.140875,1_OCM.654231,1_OR12D2.26529,1_OR2T29.343563,1_PAQR5.54852,1_PDE1B.5153,1_PDZK1.5174,1_PEBP1.5037,1_PEBP4.157310,1_PEX6.5190,1_PLEKHH3.79990,1_PPIH.10465,1_PRKCZ.5590,1_PRMT7.54496,1_QRFPR.84109,1_RAB11FIP4.84440,1_RASSF6.166824,1_RBM47.54502,1_RGS10.6001,1_RPIA.22934,1_SCARNA15.677778,1_SEMA6D.80031,1_SERPINA4.5267,1_SHROOM3.57619,1_SLC2A3.6515,1_SLC5A8.160728,1_SNHG8.100093630,1_SNORD1C.677850,1_SNRPA.6626,1_SPINT1.6692,1_STON1.GTF2A1L.286749,1_STRADA.92335,1_SYT12.91683,1_TAF6L.10629,1_TKT.7086,1_TLR4.7099,1_TMEM25.84866,1_TNFRSF6B.8771,1_TNNT1.7138,1_TOR1A.1861,1_TRAPPC5.126003,1_USP2.9099,1_VSX1.30813,1_ZIC2.7546,1_ZNF14.7561,1_ZNF555.148254,1_ZSCAN4.201516
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
